Series Title,Year Released,Content Rating,IMDB Rating,R Rating,Genre,No of Seasons,combinaiton
hell on wheels,2011,16+,8.3,79,"Action & Adventure,Drama",5,"hell on wheels 2011 16+ 8.3 79 Action & Adventure,Drama 5"
jane the virgin,2014,7+,7.8,79,"Drama,Family",5,"jane the virgin 2014 7+ 7.8 79 Drama,Family 5"
haikyu!!,2014,16+,8.7,79,"Animation,Anime",4,"haikyu!! 2014 16+ 8.7 79 Animation,Anime 4"
parenthood,2010,7+,8.2,79,"Drama,Comedy",6 ,"parenthood 2010 7+ 8.2 79 Drama,Comedy 6 "
one day at a time,2017,7+,8.2,79,"Comedy,Family",4,"one day at a time 2017 7+ 8.2 79 Comedy,Family 4"
castle rock,2018,18+,7.6,79,"Horror,Drama",2 ,"castle rock 2018 18+ 7.6 79 Horror,Drama 2 "
my brilliant friend,2018,18+,8.6,79,"Drama,2018",2 ,"my brilliant friend 2018 18+ 8.6 79 Drama,2018 2 "
wayne,2019,18+,8.4,79,"Action & Adventure,Comedy",1,"wayne 2019 18+ 8.4 79 Action & Adventure,Comedy 1"
the dragon prince,2018,7+,8.4,79,"Action & Adventure,Animation",3,"the dragon prince 2018 7+ 8.4 79 Action & Adventure,Animation 3"
elfen lied,2004,18+,8.0,79,"Animation,Anime",1 ,"elfen lied 2004 18+ 8.0 79 Animation,Anime 1 "
the borgias,2011,18+,7.9,79,"Crime,Drama",3,"the borgias 2011 18+ 7.9 79 Crime,Drama 3"
tales from the crypt,1989,18+,8.0,79,"Comedy,Fantasy",7,"tales from the crypt 1989 18+ 8.0 79 Comedy,Fantasy 7"
my so-called life,1994,16+,8.3,79,"Drama,Comedy",1 ,"my so-called life 1994 16+ 8.3 79 Drama,Comedy 1 "
raising hope,2010,16+,8.0,79,"Comedy,Family",4,"raising hope 2010 16+ 8.0 79 Comedy,Family 4"
the boondocks,2005,18+,8.4,79,"Animation,Comedy",4,"the boondocks 2005 18+ 8.4 79 Animation,Comedy 4"
inside no. 9,2014,18+,8.5,79,"Comedy,Drama",5,"inside no. 9 2014 18+ 8.5 79 Comedy,Drama 5"
delhi crime,2019,16+,8.5,79,"Crime,Drama",1,"delhi crime 2019 16+ 8.5 79 Crime,Drama 1"
the last ship,2014,16+,7.5,79,"Drama,Action & Adventure",5,"the last ship 2014 16+ 7.5 79 Drama,Action & Adventure 5"
the affair,2014,18+,7.9,79,"Drama,Mystery",5,"the affair 2014 18+ 7.9 79 Drama,Mystery 5"
law & order: special victims unit,1999,16+,8.0,79,"Drama,Action & Adventure",21 ,"law & order: special victims unit 1999 16+ 8.0 79 Drama,Action & Adventure 21 "
star trek: voyager,1995,7+,7.8,79,"Action & Adventure,Drama",7 ,"star trek: voyager 1995 7+ 7.8 79 Action & Adventure,Drama 7 "
the good fight,2017,18+,8.3,79,"Drama,Crime",4,"the good fight 2017 18+ 8.3 79 Drama,Crime 4"
superstore,2015,16+,7.8,79,"Comedy,2015",5 ,"superstore 2015 16+ 7.8 79 Comedy,2015 5 "
the dark crystal: age of resistance,2019,7+,8.5,79,"Drama,Action & Adventure",1,"the dark crystal: age of resistance 2019 7+ 8.5 79 Drama,Action & Adventure 1"
love,2016,18+,7.7,79,"Comedy,Romance",3,"love 2016 18+ 7.7 79 Comedy,Romance 3"
derry girls,2018,16+,8.4,79,"Comedy,2018",2,"derry girls 2018 16+ 8.4 79 Comedy,2018 2"
locke & key,2020,16+,7.4,79,"Drama,Fantasy",1 ,"locke & key 2020 16+ 7.4 79 Drama,Fantasy 1 "
reign,2013,16+,7.5,79,"Drama,Fantasy",4 ,"reign 2013 16+ 7.5 79 Drama,Fantasy 4 "
poldark,2015,16+,8.3,79,"Drama,History",5,"poldark 2015 16+ 8.3 79 Drama,History 5"
the shannara chronicles,2016,16+,7.2,79,"Action & Adventure,Fantasy",2,"the shannara chronicles 2016 16+ 7.2 79 Action & Adventure,Fantasy 2"
see,2019,18+,7.6,79,"Drama,Science-Fiction",1,"see 2019 18+ 7.6 79 Drama,Science-Fiction 1"
mushi-shi,2005,16+,8.5,79,"Animation,Anime",3,"mushi-shi 2005 16+ 8.5 79 Animation,Anime 3"
limitless,2015,16+,7.7,79,"Drama,Science-Fiction",1,"limitless 2015 16+ 7.7 79 Drama,Science-Fiction 1"
happy!,2017,18+,8.2,79,"Fantasy,Action & Adventure",2,"happy! 2017 18+ 8.2 79 Fantasy,Action & Adventure 2"
my name is earl,2005,16+,7.7,79,"Comedy,2005",4,"my name is earl 2005 16+ 7.7 79 Comedy,2005 4"
star wars rebels,2014,7+,8.0,79,"Action & Adventure,Science-Fiction",4,"star wars rebels 2014 7+ 8.0 79 Action & Adventure,Science-Fiction 4"
x-men,1992,7+,8.4,79,"Animation,Children",5,"x-men 1992 7+ 8.4 79 Animation,Children 5"
wizards: tales of arcadia,2020,7+,8.3,79,"Animation,Action & Adventure",1,"wizards: tales of arcadia 2020 7+ 8.3 79 Animation,Action & Adventure 1"
marvel's the defenders,2017,18+,7.3,79,"Action & Adventure,Crime",1,"marvel's the defenders 2017 18+ 7.3 79 Action & Adventure,Crime 1"
you're the worst,2014,18+,8.1,79,"Comedy,Drama",5,"you're the worst 2014 18+ 8.1 79 Comedy,Drama 5"
the exorcist,2016,16+,8.1,79,"Drama,Horror",2,"the exorcist 2016 16+ 8.1 79 Drama,Horror 2"
the rookie,2018,16+,8.1,79,"Comedy,Crime",2 ,"the rookie 2018 16+ 8.1 79 Comedy,Crime 2 "
the mentalist,2008,16+,8.1,79,"Crime,Drama",7 ,"the mentalist 2008 16+ 8.1 79 Crime,Drama 7 "
star trek: discovery,2017,16+,7.3,79,"Science-Fiction,Action & Adventure",2 ,"star trek: discovery 2017 16+ 7.3 79 Science-Fiction,Action & Adventure 2 "
top boy,2011,18+,8.4,79,"Drama,Crime",3 ,"top boy 2011 18+ 8.4 79 Drama,Crime 3 "
trigun,1998,7+,8.3,79,"Action & Adventure,Anime",1,"trigun 1998 7+ 8.3 79 Action & Adventure,Anime 1"
marco polo,2014,18+,8.0,79,"Action & Adventure,Drama",2 ,"marco polo 2014 18+ 8.0 79 Action & Adventure,Drama 2 "
call the midwife,2012,16+,8.4,78,"Drama,History",9,"call the midwife 2012 16+ 8.4 78 Drama,History 9"
everybody hates chris,2005,7+,7.4,78,"Comedy,2005",4 ,"everybody hates chris 2005 7+ 7.4 78 Comedy,2005 4 "
designated survivor,2016,7+,7.5,78,"Drama,Action & Adventure",3 ,"designated survivor 2016 7+ 7.5 78 Drama,Action & Adventure 3 "
fresh off the boat,2015,7+,7.8,78,"Comedy,Family",6 ,"fresh off the boat 2015 7+ 7.8 78 Comedy,Family 6 "
